station_id,num_bikes_available,num_ebikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,is_installed,is_renting,is_returning,last_reported,vehicle_types_available,vehicle_docks_available,feed_last_updated
3,4,0,0,15,0,1,1,1,1774067737,"[{""vehicle_type_id"": ""11"", ""count"": 0}, {""vehicle_type_id"": ""14"", ""count"": 0}, {""vehicle_type_id"": ""4"", ""count"": 0}, {""vehicle_type_id"": ""7"", ""count"": 0}, {""vehicle_type_id"": ""9"", ""count"": 4}]",[],1774077842
12,5,0,0,18,0,1,1,1,1774034503,"[{""vehicle_type_id"": ""11"", ""count"": 0}, {""vehicle_type_id"": ""14"", ""count"": 0}, {""vehicle_type_id"": ""4"", ""count"": 0}, {""vehicle_type_id"": ""7"", ""count"": 0}, {""vehicle_type_id"": ""9"", ""count"": 5}]",[],1774077842
15,4,0,1,10,0,1,1,1,1774072830,"[{""vehicle_type_id"": ""11"", ""count"": 0}, {""vehicle_type_id"": ""14"", ""count"": 0}, {""vehicle_type_id"": ""4"", ""count"": 0}, {""vehicle_type_id"": ""7"", ""count"": 0}, {""vehicle_type_id"": ""9"", ""count"": 4}]",[],1774077842
17,7,0,1,19,0,1,1,1,1774073687,"[{""vehicle_type_id"": ""11"", ""count"": 0}, {""vehicle_type_id"": ""14"", ""count"": 0}, {""vehicle_type_id"": ""4"", ""count"": 0}, {""vehicle_type_id"": ""7"", ""count"": 0}, {""vehicle_type_id"": ""9"", ""count"": 7}]",[],1774077842
19,14,0,0,13,0,1,1,1,1774070144,"[{""vehicle_type_id"": ""11"", ""count"": 0}, {""vehicle_type_id"": ""14"", ""count"": 0}, {""vehicle_type_id"": ""4"", ""count"": 0}, {""vehicle_type_id"": ""7"", ""count"": 0}, {""vehicle_type_id"": ""9"", ""count"": 14}]",[],1774077842
22,10,0,0,57,0,1,1,1,1774044007,"[{""vehicle_type_id"": ""11"", ""count"": 0}, {""vehicle_type_id"": ""14"", ""count"": 0}, {""vehicle_type_id"": ""4"", ""count"": 0}, {""vehicle_type_id"": ""7"", ""count"": 0}, {""vehicle_type_id"": ""9"", ""count"": 10}]",[],1774077842
24,4,0,0,7,0,1,1,1,1774070400,"[{""vehicle_type_id"": ""11"", ""count"": 0}, {""vehicle_type_id"": ""14"", ""count"": 0}, {""vehicle_type_id"": ""4"", ""count"": 0}, {""vehicle_type_id"": ""7"", ""count"": 0}, {""vehicle_type_id"": ""9"", ""count"": 4}]",[],1774077842
25,35,0,0,46,0,1,1,1,1774048331,"[{""vehicle_type_id"": ""11"", ""count"": 0}, {""vehicle_type_id"": ""14"", ""count"": 0}, {""vehicle_type_id"": ""4"", ""count"": 0}, {""vehicle_type_id"": ""7"", ""count"": 0}, {""vehicle_type_id"": ""9"", ""count"": 35}]",[],1774077842
26,16,0,0,11,0,1,1,1,1774053800,"[{""vehicle_type_id"": ""11"", ""count"": 0}, {""vehicle_type_id"": ""14"", ""count"": 0}, {""vehicle_type_id"": ""4"", ""count"": 0}, {""vehicle_type_id"": ""7"", ""count"": 0}, {""vehicle_type_id"": ""9"", ""count"": 16}]",[],1774077842
31,0,0,0,19,0,0,1,1,1772735012,"[{""vehicle_type_id"": ""11"", ""count"": 0}, {""vehicle_type_id"": ""14"", ""count"": 0}, {""vehicle_type_id"": ""4"", ""count"": 0}, {""vehicle_type_id"": ""7"", ""count"": 0}, {""vehicle_type_id"": ""9"", ""count"": 0}]",[],1774077842
34,10,0,0,27,0,1,1,1,1774074229,"[{""vehicle_type_id"": ""11"", ""count"": 0}, {""vehicle_type_id"": ""14"", ""count"": 0}, {""vehicle_type_id"": ""4"", ""count"": 0}, {""vehicle_type_id"": ""7"", ""count"": 0}, {""vehicle_type_id"": ""9"", ""count"": 10}]",[],1774077842
35,5,0,1,41,0,1,1,1,1774077530,"[{""vehicle_type_id"": ""11"", ""count"": 0}, {""vehicle_type_id"": ""14"", ""count"": 0}, {""vehicle_type_id"": ""4"", ""count"": 0}, {""vehicle_type_id"": ""7"", ""count"": 0}, {""vehicle_type_id"": ""9"", ""count"": 5}]",[],1774077842
37,6,0,0,5,0,1,1,1,1774074026,"[{""vehicle_type_id"": ""11"", ""count"": 0}, {""vehicle_type_id"": ""14"", ""count"": 0}, {""vehicle_type_id"": ""4"", ""count"": 0}, {""vehicle_type_id"": ""7"", ""count"": 0}, {""vehicle_type_id"": ""9"", ""count"": 6}]",[],1774077842
40,9,0,0,12,0,1,1,1,1774077574,"[{""vehicle_type_id"": ""11"", ""count"": 0}, {""vehicle_type_id"": ""14"", ""count"": 0}, {""vehicle_type_id"": ""4"", ""count"": 0}, {""vehicle_type_id"": ""7"", ""count"": 0}, {""vehicle_type_id"": ""9"", ""count"": 9}]",[],1774077842
41,12,0,0,15,0,1,1,1,1774067116,"[{""vehicle_type_id"": ""11"", ""count"": 0}, {""vehicle_type_id"": ""14"", ""count"": 0}, {""vehicle_type_id"": ""4"", ""count"": 0}, {""vehicle_type_id"": ""7"", ""count"": 0}, {""vehicle_type_id"": ""9"", ""count"": 12}]",[],1774077842
45,15,0,0,16,0,1,1,1,1774054237,"[{""vehicle_type_id"": ""11"", ""count"": 0}, {""vehicle_type_id"": ""14"", ""count"": 0}, {""vehicle_type_id"": ""4"", ""count"": 0}, {""vehicle_type_id"": ""7"", ""count"": 0}, {""vehicle_type_id"": ""9"", ""count"": 15}]",[],1774077842
47,12,0,0,3,0,1,1,1,1774072809,"[{""vehicle_type_id"": ""11"", ""count"": 0}, {""vehicle_type_id"": ""14"", ""count"": 0}, {""vehicle_type_id"": ""4"", ""count"": 0}, {""vehicle_type_id"": ""7"", ""count"": 0}, {""vehicle_type_id"": ""9"", ""count"": 12}]",[],1774077842
49,6,0,1,16,0,1,1,1,1774068833,"[{""vehicle_type_id"": ""11"", ""count"": 0}, {""vehicle_type_id"": ""14"", ""count"": 0}, {""vehicle_type_id"": ""4"", ""count"": 0}, {""vehicle_type_id"": ""7"", ""count"": 0}, {""vehicle_type_id"": ""9"", ""count"": 6}]",[],1774077842
51,8,0,0,71,0,1,1,1,1773910761,"[{""vehicle_type_id"": ""11"", ""count"": 0}, {""vehicle_type_id"": ""14"", ""count"": 0}, {""vehicle_type_id"": ""4"", ""count"": 0}, {""vehicle_type_id"": ""7"", ""count"": 0}, {""vehicle_type_id"": ""9"", ""count"": 8}]",[],1774077842
52,8,0,0,19,0,1,1,1,1774051783,"[{""vehicle_type_id"": ""11"", ""count"": 0}, {""vehicle_type_id"": ""14"", ""count"": 0}, {""vehicle_type_id"": ""4"", ""count"": 0}, {""vehicle_type_id"": ""7"", ""count"": 0}, {""vehicle_type_id"": ""9"", ""count"": 8}]",[],1774077842
55,6,0,0,17,0,1,1,1,1774063262,"[{""vehicle_type_id"": ""11"", ""count"": 0}, {""vehicle_type_id"": ""14"", ""count"": 0}, {""vehicle_type_id"": ""4"", ""count"": 0}, {""vehicle_type_id"": ""7"", ""count"": 0}, {""vehicle_type_id"": ""9"", ""count"": 6}]",[],1774077842
