alert_id,type,times,url,summary,description,alert_last_updated,feed_last_updated
2,SYSTEM_CLOSURE,"[{""start"": 1695146400, ""end"": 1695700740}]",https://bixi.com/en/ami-bixi/,New Amis BIXI Reward,Help us balance the bikes in the network and win free electric rides!,1695139568,1774663795
5,SYSTEM_CLOSURE,"[{""start"": 1706223960, ""end"": 1706310000}]",,Information,The icy conditions will make travel more difficult. Caution and vigilance are required during outings for all year-round cyclists. The BIXI network remains open.,1706223871,1774663795
6,SYSTEM_CLOSURE,"[{""start"": 1709068500, ""end"": 1709269140}]",,Information,"Please note that new rates will come into effect on Friday, March 1st. Check our website for full details.",1709068401,1774663795
10,SYSTEM_CLOSURE,"[{""start"": 1712408400, ""end"": 1712581200}]",,Early network opening,75% of the network is available this weekend! Grab your seasonal membership and enjoy the nice weather on your BIXI!,1712347600,1774663795
15,SYSTEM_CLOSURE,"[{""start"": 1721350680, ""end"": 1721404800}]",,Network Info,The service is restored to all BIXI stations.,1721350842,1774663795
20,SYSTEM_CLOSURE,"[{""start"": 1739401200, ""end"": 1739409600}]",,Information,The rapid accumulation of snow will make travel more difficult. Caution and vigilance are required during outings for all year-round cyclists. The BIXI network remains open for essential trips.,1739409634,1774663795
21,SYSTEM_CLOSURE,"[{""start"": 1739833020, ""end"": 1739984400}]",,Information,The rapid accumulation of snow makes travel more difficult. Caution and vigilance are required during outings for all year-round cyclists. The BIXI network remains open for essential trips.,1739901468,1774663795
22,OTHER,"[{""start"": 1749355200, ""end"": 1749787140}]",https://bixi.com/en/drop-off-stations/,Enhanced BIXI service,Up to 25 drop-off stations will be set up from 8 am to 11 pm at busy locations for the next few days. Plan your trips via the app,1749231912,1774663795
24,OTHER,"[{""start"": 1758772800, ""end"": 1758859140}]",https://bixi.com/en/drop-off-stations/,Enhanced BIXI service,Your transportation needs are covered thanks to our service enhancement and the 11 additional drop-off stations in high-traffic areas. The BIXI app is the best tool to plan your trips.,1758720256,1774663795
25,OTHER,"[{""start"": 1758859200, ""end"": 1758945540}]",https://bixi.com/en/drop-off-stations/,Enhanced BIXI service,Your transportation needs are covered thanks to our service enhancement and the 11 additional drop-off stations in high-traffic areas. The BIXI app is the best tool to plan your trips.,1758720246,1774663795
26,OTHER,"[{""start"": 1758720300, ""end"": 1758772740}]",https://bixi.com/en/drop-off-stations/,Enhanced BIXI service,Your transportation needs are covered thanks to our service enhancement and the 11 additional drop-off stations in high-traffic areas. The BIXI app is the best tool to plan your trips.,1758720386,1774663795
27,OTHER,"[{""start"": 1758945600, ""end"": 1759031940}]",https://bixi.com/en/drop-off-stations/,Enhanced BIXI service,Your transportation needs are covered thanks to our service enhancement and the 11 additional drop-off stations in high-traffic areas. The BIXI app is the best tool to plan your trips.,1758720567,1774663795
28,OTHER,"[{""start"": 1759032000, ""end"": 1759118340}]",https://bixi.com/en/drop-off-stations/,Enhanced BIXI service,Your transportation needs are covered thanks to our service enhancement and the 11 additional drop-off stations in high-traffic areas. The BIXI app is the best tool to plan your trips.,1758720641,1774663795
29,OTHER,"[{""start"": 1759118400, ""end"": 1759204740}]",https://bixi.com/en/drop-off-stations/,Enhanced BIXI service,Your transportation needs are covered thanks to our service enhancement and the 11 additional drop-off stations in high-traffic areas. The BIXI app is the best tool to plan your trips.,1758720780,1774663795
30,OTHER,"[{""start"": 1759204800, ""end"": 1759291140}]",https://bixi.com/en/drop-off-stations/,Enhanced BIXI service,Your transportation needs are covered thanks to our service enhancement and the 11 additional drop-off stations in high-traffic areas. The BIXI app is the best tool to plan your trips.,1758720835,1774663795
31,OTHER,"[{""start"": 1759291200, ""end"": 1759377540}]",https://bixi.com/en/drop-off-stations/,Enhanced BIXI service,Your transportation needs are covered thanks to our service enhancement and the 11 additional drop-off stations in high-traffic areas. The BIXI app is the best tool to plan your trips.,1758720947,1774663795
32,OTHER,"[{""start"": 1759377600, ""end"": 1759463940}]",https://bixi.com/en/drop-off-stations/,Enhanced BIXI service,Your transportation needs are covered thanks to our service enhancement and the 11 additional drop-off stations in high-traffic areas. The BIXI app is the best tool to plan your trips.,1758721059,1774663795
33,OTHER,"[{""start"": 1759464000, ""end"": 1759550340}]",https://bixi.com/en/drop-off-stations/,Enhanced BIXI service,Your transportation needs are covered thanks to our service enhancement and the 11 additional drop-off stations in high-traffic areas. The BIXI app is the best tool to plan your trips.,1758721228,1774663795
35,OTHER,"[{""start"": 1761969600, ""end"": 1762055940}]",https://bixi.com/en/drop-off-stations/,Enhanced BIXI service ,Your transportation needs are covered thanks to our service enhancement and the additional drop-off stations in high-traffic areas. The BIXI app is the best tool to plan your trips. ,1761920089,1774663795
36,OTHER,"[{""start"": 1762056000, ""end"": 1762145940}]",https://bixi.com/en/drop-off-stations/,Enhanced BIXI service,Your transportation needs are covered thanks to our service enhancement and the additional drop-off stations in high-traffic areas. The BIXI app is the best tool to plan your trips.,1761920235,1774663795
37,OTHER,"[{""start"": 1762146000, ""end"": 1762232340}]",https://bixi.com/en/drop-off-stations/,Enhanced BIXI service,Your transportation needs are covered thanks to our service enhancement and the additional drop-off stations in high-traffic areas. The BIXI app is the best tool to plan your trips.,1761920657,1774663795
38,OTHER,"[{""start"": 1762232400, ""end"": 1762318740}]",https://bixi.com/en/drop-off-stations/,Enhanced BIXI service,Your transportation needs are covered thanks to our service enhancement and the additional drop-off stations in high-traffic areas. The BIXI app is the best tool to plan your trips.,1761920712,1774663795
39,OTHER,"[{""start"": 1762318800, ""end"": 1762405140}]",https://bixi.com/en/drop-off-stations/,Enhanced BIXI service,Your transportation needs are covered thanks to our service enhancement and the additional drop-off stations in high-traffic areas. The BIXI app is the best tool to plan your trips.,1761921185,1774663795
