station_id,num_bikes_available,num_ebikes_available,num_bikes_disabled,num_docks_available,num_docks_disabled,is_installed,is_renting,is_returning,last_reported,vehicle_types_available,vehicle_docks_available,feed_last_updated
3,5,0,0,14,0,1,1,1,1772506536,"[{""vehicle_type_id"": ""11"", ""count"": 0}, {""vehicle_type_id"": ""14"", ""count"": 0}, {""vehicle_type_id"": ""4"", ""count"": 0}, {""vehicle_type_id"": ""7"", ""count"": 0}, {""vehicle_type_id"": ""9"", ""count"": 5}]",[],1772522410
15,1,0,1,13,0,1,1,1,1772522400,"[{""vehicle_type_id"": ""11"", ""count"": 0}, {""vehicle_type_id"": ""14"", ""count"": 0}, {""vehicle_type_id"": ""4"", ""count"": 0}, {""vehicle_type_id"": ""7"", ""count"": 0}, {""vehicle_type_id"": ""9"", ""count"": 1}]",[],1772522410
17,9,0,0,18,0,1,1,1,1772518144,"[{""vehicle_type_id"": ""11"", ""count"": 0}, {""vehicle_type_id"": ""14"", ""count"": 0}, {""vehicle_type_id"": ""4"", ""count"": 0}, {""vehicle_type_id"": ""7"", ""count"": 0}, {""vehicle_type_id"": ""9"", ""count"": 9}]",[],1772522410
19,18,0,0,9,0,1,1,1,1772515553,"[{""vehicle_type_id"": ""11"", ""count"": 0}, {""vehicle_type_id"": ""14"", ""count"": 0}, {""vehicle_type_id"": ""4"", ""count"": 0}, {""vehicle_type_id"": ""7"", ""count"": 0}, {""vehicle_type_id"": ""9"", ""count"": 18}]",[],1772522410
24,2,0,0,9,0,1,1,1,1772488719,"[{""vehicle_type_id"": ""11"", ""count"": 0}, {""vehicle_type_id"": ""14"", ""count"": 0}, {""vehicle_type_id"": ""4"", ""count"": 0}, {""vehicle_type_id"": ""7"", ""count"": 0}, {""vehicle_type_id"": ""9"", ""count"": 2}]",[],1772522410
25,45,0,1,35,0,1,1,1,1772510561,"[{""vehicle_type_id"": ""11"", ""count"": 0}, {""vehicle_type_id"": ""14"", ""count"": 0}, {""vehicle_type_id"": ""4"", ""count"": 0}, {""vehicle_type_id"": ""7"", ""count"": 0}, {""vehicle_type_id"": ""9"", ""count"": 45}]",[],1772522410
26,1,0,0,26,0,1,1,1,1772496617,"[{""vehicle_type_id"": ""11"", ""count"": 0}, {""vehicle_type_id"": ""14"", ""count"": 0}, {""vehicle_type_id"": ""4"", ""count"": 0}, {""vehicle_type_id"": ""7"", ""count"": 0}, {""vehicle_type_id"": ""9"", ""count"": 1}]",[],1772522410
31,4,0,0,15,0,1,1,1,1772512722,"[{""vehicle_type_id"": ""11"", ""count"": 0}, {""vehicle_type_id"": ""14"", ""count"": 0}, {""vehicle_type_id"": ""4"", ""count"": 0}, {""vehicle_type_id"": ""7"", ""count"": 0}, {""vehicle_type_id"": ""9"", ""count"": 4}]",[],1772522410
34,4,0,0,33,0,1,1,1,1772513918,"[{""vehicle_type_id"": ""11"", ""count"": 0}, {""vehicle_type_id"": ""14"", ""count"": 0}, {""vehicle_type_id"": ""4"", ""count"": 0}, {""vehicle_type_id"": ""7"", ""count"": 0}, {""vehicle_type_id"": ""9"", ""count"": 4}]",[],1772522410
35,35,0,0,12,0,1,1,1,1772494884,"[{""vehicle_type_id"": ""11"", ""count"": 0}, {""vehicle_type_id"": ""14"", ""count"": 0}, {""vehicle_type_id"": ""4"", ""count"": 0}, {""vehicle_type_id"": ""7"", ""count"": 0}, {""vehicle_type_id"": ""9"", ""count"": 35}]",[],1772522410
37,9,0,0,2,0,1,1,1,1772506380,"[{""vehicle_type_id"": ""11"", ""count"": 0}, {""vehicle_type_id"": ""14"", ""count"": 0}, {""vehicle_type_id"": ""4"", ""count"": 0}, {""vehicle_type_id"": ""7"", ""count"": 0}, {""vehicle_type_id"": ""9"", ""count"": 9}]",[],1772522410
40,6,0,0,15,0,1,1,1,1772501668,"[{""vehicle_type_id"": ""11"", ""count"": 0}, {""vehicle_type_id"": ""14"", ""count"": 0}, {""vehicle_type_id"": ""4"", ""count"": 0}, {""vehicle_type_id"": ""7"", ""count"": 0}, {""vehicle_type_id"": ""9"", ""count"": 6}]",[],1772522410
47,14,0,1,0,0,1,1,1,1772505115,"[{""vehicle_type_id"": ""11"", ""count"": 0}, {""vehicle_type_id"": ""14"", ""count"": 0}, {""vehicle_type_id"": ""4"", ""count"": 0}, {""vehicle_type_id"": ""7"", ""count"": 0}, {""vehicle_type_id"": ""9"", ""count"": 14}]",[],1772522410
49,3,0,1,19,0,1,1,1,1772505761,"[{""vehicle_type_id"": ""11"", ""count"": 0}, {""vehicle_type_id"": ""14"", ""count"": 0}, {""vehicle_type_id"": ""4"", ""count"": 0}, {""vehicle_type_id"": ""7"", ""count"": 0}, {""vehicle_type_id"": ""9"", ""count"": 3}]",[],1772522410
55,2,0,0,21,0,1,1,1,1772516350,"[{""vehicle_type_id"": ""11"", ""count"": 0}, {""vehicle_type_id"": ""14"", ""count"": 0}, {""vehicle_type_id"": ""4"", ""count"": 0}, {""vehicle_type_id"": ""7"", ""count"": 0}, {""vehicle_type_id"": ""9"", ""count"": 2}]",[],1772522410
59,12,0,0,15,0,1,1,1,1772497121,"[{""vehicle_type_id"": ""11"", ""count"": 0}, {""vehicle_type_id"": ""14"", ""count"": 0}, {""vehicle_type_id"": ""4"", ""count"": 0}, {""vehicle_type_id"": ""7"", ""count"": 0}, {""vehicle_type_id"": ""9"", ""count"": 12}]",[],1772522410
60,4,0,0,15,0,1,1,1,1772508339,"[{""vehicle_type_id"": ""11"", ""count"": 0}, {""vehicle_type_id"": ""14"", ""count"": 0}, {""vehicle_type_id"": ""4"", ""count"": 0}, {""vehicle_type_id"": ""7"", ""count"": 0}, {""vehicle_type_id"": ""9"", ""count"": 4}]",[],1772522410
61,14,0,0,25,0,1,1,1,1772517103,"[{""vehicle_type_id"": ""11"", ""count"": 0}, {""vehicle_type_id"": ""14"", ""count"": 0}, {""vehicle_type_id"": ""4"", ""count"": 0}, {""vehicle_type_id"": ""7"", ""count"": 0}, {""vehicle_type_id"": ""9"", ""count"": 14}]",[],1772522410
62,4,0,0,45,0,1,1,1,1772513039,"[{""vehicle_type_id"": ""11"", ""count"": 0}, {""vehicle_type_id"": ""14"", ""count"": 0}, {""vehicle_type_id"": ""4"", ""count"": 0}, {""vehicle_type_id"": ""7"", ""count"": 0}, {""vehicle_type_id"": ""9"", ""count"": 4}]",[],1772522410
68,8,0,1,28,0,1,1,1,1772511709,"[{""vehicle_type_id"": ""11"", ""count"": 0}, {""vehicle_type_id"": ""14"", ""count"": 0}, {""vehicle_type_id"": ""4"", ""count"": 0}, {""vehicle_type_id"": ""7"", ""count"": 0}, {""vehicle_type_id"": ""9"", ""count"": 8}]",[],1772522410
69,9,0,0,6,0,1,1,1,1772495635,"[{""vehicle_type_id"": ""11"", ""count"": 0}, {""vehicle_type_id"": ""14"", ""count"": 0}, {""vehicle_type_id"": ""4"", ""count"": 0}, {""vehicle_type_id"": ""7"", ""count"": 0}, {""vehicle_type_id"": ""9"", ""count"": 9}]",[],1772522410
72,5,0,0,9,1,1,1,1,1772514698,"[{""vehicle_type_id"": ""11"", ""count"": 0}, {""vehicle_type_id"": ""14"", ""count"": 0}, {""vehicle_type_id"": ""4"", ""count"": 0}, {""vehicle_type_id"": ""7"", ""count"": 0}, {""vehicle_type_id"": ""9"", ""count"": 5}]",[],1772522410
76,8,0,0,11,0,1,1,1,1772493551,"[{""vehicle_type_id"": ""11"", ""count"": 0}, {""vehicle_type_id"": ""14"", ""count"": 0}, {""vehicle_type_id"": ""4"", ""count"": 0}, {""vehicle_type_id"": ""7"", ""count"": 0}, {""vehicle_type_id"": ""9"", ""count"": 8}]",[],1772522410
77,7,0,0,36,0,1,1,1,1772500257,"[{""vehicle_type_id"": ""11"", ""count"": 0}, {""vehicle_type_id"": ""14"", ""count"": 0}, {""vehicle_type_id"": ""4"", ""count"": 0}, {""vehicle_type_id"": ""7"", ""count"": 0}, {""vehicle_type_id"": ""9"", ""count"": 7}]",[],1772522410
