alert_id,type,times,url,summary,description,alert_last_updated,feed_last_updated
2,SYSTEM_CLOSURE,"[{""start"": 1695146400, ""end"": 1695700740}]",https://bixi.com/en/ami-bixi/,New Amis BIXI Reward,Help us balance the bikes in the network and win free electric rides!,1695139568,1772522410
5,SYSTEM_CLOSURE,"[{""start"": 1706223960, ""end"": 1706310000}]",,Information,The icy conditions will make travel more difficult. Caution and vigilance are required during outings for all year-round cyclists. The BIXI network remains open.,1706223871,1772522410
6,SYSTEM_CLOSURE,"[{""start"": 1709068500, ""end"": 1709269140}]",,Information,"Please note that new rates will come into effect on Friday, March 1st. Check our website for full details.",1709068401,1772522410
10,SYSTEM_CLOSURE,"[{""start"": 1712408400, ""end"": 1712581200}]",,Early network opening,75% of the network is available this weekend! Grab your seasonal membership and enjoy the nice weather on your BIXI!,1712347600,1772522410
15,SYSTEM_CLOSURE,"[{""start"": 1721350680, ""end"": 1721404800}]",,Network Info,The service is restored to all BIXI stations.,1721350842,1772522410
20,SYSTEM_CLOSURE,"[{""start"": 1739401200, ""end"": 1739409600}]",,Information,The rapid accumulation of snow will make travel more difficult. Caution and vigilance are required during outings for all year-round cyclists. The BIXI network remains open for essential trips.,1739409634,1772522410
21,SYSTEM_CLOSURE,"[{""start"": 1739833020, ""end"": 1739984400}]",,Information,The rapid accumulation of snow makes travel more difficult. Caution and vigilance are required during outings for all year-round cyclists. The BIXI network remains open for essential trips.,1739901468,1772522410
22,OTHER,"[{""start"": 1749355200, ""end"": 1749787140}]",https://bixi.com/en/drop-off-stations/,Enhanced BIXI service,Up to 25 drop-off stations will be set up from 8 am to 11 pm at busy locations for the next few days. Plan your trips via the app,1749231912,1772522410
24,OTHER,"[{""start"": 1758772800, ""end"": 1758859140}]",https://bixi.com/en/drop-off-stations/,Enhanced BIXI service,Your transportation needs are covered thanks to our service enhancement and the 11 additional drop-off stations in high-traffic areas. The BIXI app is the best tool to plan your trips.,1758720256,1772522410
25,OTHER,"[{""start"": 1758859200, ""end"": 1758945540}]",https://bixi.com/en/drop-off-stations/,Enhanced BIXI service,Your transportation needs are covered thanks to our service enhancement and the 11 additional drop-off stations in high-traffic areas. The BIXI app is the best tool to plan your trips.,1758720246,1772522410
26,OTHER,"[{""start"": 1758720300, ""end"": 1758772740}]",https://bixi.com/en/drop-off-stations/,Enhanced BIXI service,Your transportation needs are covered thanks to our service enhancement and the 11 additional drop-off stations in high-traffic areas. The BIXI app is the best tool to plan your trips.,1758720386,1772522410
27,OTHER,"[{""start"": 1758945600, ""end"": 1759031940}]",https://bixi.com/en/drop-off-stations/,Enhanced BIXI service,Your transportation needs are covered thanks to our service enhancement and the 11 additional drop-off stations in high-traffic areas. The BIXI app is the best tool to plan your trips.,1758720567,1772522410
28,OTHER,"[{""start"": 1759032000, ""end"": 1759118340}]",https://bixi.com/en/drop-off-stations/,Enhanced BIXI service,Your transportation needs are covered thanks to our service enhancement and the 11 additional drop-off stations in high-traffic areas. The BIXI app is the best tool to plan your trips.,1758720641,1772522410
29,OTHER,"[{""start"": 1759118400, ""end"": 1759204740}]",https://bixi.com/en/drop-off-stations/,Enhanced BIXI service,Your transportation needs are covered thanks to our service enhancement and the 11 additional drop-off stations in high-traffic areas. The BIXI app is the best tool to plan your trips.,1758720780,1772522410
30,OTHER,"[{""start"": 1759204800, ""end"": 1759291140}]",https://bixi.com/en/drop-off-stations/,Enhanced BIXI service,Your transportation needs are covered thanks to our service enhancement and the 11 additional drop-off stations in high-traffic areas. The BIXI app is the best tool to plan your trips.,1758720835,1772522410
31,OTHER,"[{""start"": 1759291200, ""end"": 1759377540}]",https://bixi.com/en/drop-off-stations/,Enhanced BIXI service,Your transportation needs are covered thanks to our service enhancement and the 11 additional drop-off stations in high-traffic areas. The BIXI app is the best tool to plan your trips.,1758720947,1772522410
32,OTHER,"[{""start"": 1759377600, ""end"": 1759463940}]",https://bixi.com/en/drop-off-stations/,Enhanced BIXI service,Your transportation needs are covered thanks to our service enhancement and the 11 additional drop-off stations in high-traffic areas. The BIXI app is the best tool to plan your trips.,1758721059,1772522410
33,OTHER,"[{""start"": 1759464000, ""end"": 1759550340}]",https://bixi.com/en/drop-off-stations/,Enhanced BIXI service,Your transportation needs are covered thanks to our service enhancement and the 11 additional drop-off stations in high-traffic areas. The BIXI app is the best tool to plan your trips.,1758721228,1772522410
35,OTHER,"[{""start"": 1761969600, ""end"": 1762055940}]",https://bixi.com/en/drop-off-stations/,Enhanced BIXI service ,Your transportation needs are covered thanks to our service enhancement and the additional drop-off stations in high-traffic areas. The BIXI app is the best tool to plan your trips. ,1761920089,1772522410
36,OTHER,"[{""start"": 1762056000, ""end"": 1762145940}]",https://bixi.com/en/drop-off-stations/,Enhanced BIXI service,Your transportation needs are covered thanks to our service enhancement and the additional drop-off stations in high-traffic areas. The BIXI app is the best tool to plan your trips.,1761920235,1772522410
37,OTHER,"[{""start"": 1762146000, ""end"": 1762232340}]",https://bixi.com/en/drop-off-stations/,Enhanced BIXI service,Your transportation needs are covered thanks to our service enhancement and the additional drop-off stations in high-traffic areas. The BIXI app is the best tool to plan your trips.,1761920657,1772522410
38,OTHER,"[{""start"": 1762232400, ""end"": 1762318740}]",https://bixi.com/en/drop-off-stations/,Enhanced BIXI service,Your transportation needs are covered thanks to our service enhancement and the additional drop-off stations in high-traffic areas. The BIXI app is the best tool to plan your trips.,1761920712,1772522410
39,OTHER,"[{""start"": 1762318800, ""end"": 1762405140}]",https://bixi.com/en/drop-off-stations/,Enhanced BIXI service,Your transportation needs are covered thanks to our service enhancement and the additional drop-off stations in high-traffic areas. The BIXI app is the best tool to plan your trips.,1761921185,1772522410
40,OTHER,"[{""start"": 1762405200, ""end"": 1762491540}]",https://bixi.com/en/drop-off-stations/,Enhanced BIXI service,Your transportation needs are covered thanks to our service enhancement and the additional drop-off stations in high-traffic areas. The BIXI app is the best tool to plan your trips.,1761922126,1772522410
41,OTHER,"[{""start"": 1762491600, ""end"": 1762577940}]",https://bixi.com/en/drop-off-stations/,Enhanced BIXI service,Your transportation needs are covered thanks to our service enhancement and the additional drop-off stations in high-traffic areas. The BIXI app is the best tool to plan your trips.,1761922228,1772522410
42,OTHER,"[{""start"": 1762578000, ""end"": 1762664340}]",https://bixi.com/en/drop-off-stations/,Enhanced BIXI service,Your transportation needs are covered thanks to our service enhancement and the additional drop-off stations in high-traffic areas. The BIXI app is the best tool to plan your trips.,1761922903,1772522410
43,OTHER,"[{""start"": 1762664400, ""end"": 1762750740}]",https://bixi.com/en/drop-off-stations/,Enhanced BIXI service,Your transportation needs are covered thanks to our service enhancement and the additional drop-off stations in high-traffic areas. The BIXI app is the best tool to plan your trips.,1761922965,1772522410
44,OTHER,"[{""start"": 1762750800, ""end"": 1762837140}]",https://bixi.com/en/drop-off-stations/,Enhanced BIXI service,Your transportation needs are covered thanks to our service enhancement and the additional drop-off stations in high-traffic areas. The BIXI app is the best tool to plan your trips.,1761923087,1772522410
45,OTHER,"[{""start"": 1762837200, ""end"": 1762923540}]",https://bixi.com/en/drop-off-stations/,Enhanced BIXI service,Your transportation needs are covered thanks to our service enhancement and the additional drop-off stations in high-traffic areas. The BIXI app is the best tool to plan your trips.,1761923338,1772522410
